label,sample,height,del13C,del18O,lab,biozone,biozone label,reference,locality,geographic location,standard material,temperature during sample digestion ,reference,sample material,external repr. del13C,external repr. del18O,latitude,longitude
"Abadeh (Korte et al., 2004)",95,2917,1.19,-7.23,Bochum,I. Dieneri,K,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.08,0.01,32.5343,53.1217
"Abadeh (Korte et al., 2004)",94,2717,1.34,-7.19,Insbruck,I. Dieneri,K,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",93,1567,1.66,-6.91,Texas A&M university,I. Dieneri,K,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,NA,NA,32.5343,53.1217
"Abadeh (Korte et al., 2004)",91,1317,2.13,-6.65,Insbruck,H. postparvus,J,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",90,1277,NA,NA,NA,H. postparvus,J,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,NA,NA,32.5343,53.1217
"Abadeh (Korte et al., 2004)",89,1177,2.34,-5.96,Insbruck,H. postparvus,J,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",88,1077,2.23,-6.29,Insbruck,H. postparvus,J,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",87,1017,1.56,-6.33,Bochum,H. postparvus,J,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.08,0.01,32.5343,53.1217
"Abadeh (Korte et al., 2004)",86,987,NA,NA,NA,H. postparvus,J,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,NA,NA,32.5343,53.1217
"Abadeh (Korte et al., 2004)",85,897,2,-6.75,Insbruck,H. postparvus,J,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",84,827,1.6,-6.99,Insbruck,I. isarcica,I,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",83,747,1.23,-6.67,Insbruck,I. isarcica,I,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",82,697,0.64,-7.64,Insbruck,I. isarcica,I,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",81,647,0.48,-6.85,Texas A&M university,I. isarcica,I,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,NA,NA,32.5343,53.1217
"Abadeh (Korte et al., 2004)",80,597,0.77,-6.71,Insbruck,I. isarcica,I,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",79,527,0.54,-6.35,Insbruck,I. isarcica,I,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",78,487,0.32,-7.19,Insbruck,I. isarcica,I,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",77,447,0.11,-6.46,Bochum,I. isarcica,I,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.08,0.01,32.5343,53.1217
